id,created,customer,plan,subject,body,category,difficulty
T-001,2026-06-01,Bramley Wholesale,Growth,Can't log in,"Says my password is wrong but I haven't changed it. Tried twice.",Login,easy
T-002,2026-06-01,Vestra Retail,Starter,locked out,"Locked out after 3 tries. Need access now, doing stock take today.",Login,easy
T-003,2026-06-01,Norling Foods,Growth,MFA code not arriving,"The 6 digit code never comes through to my phone.",Login,easy
T-004,2026-06-02,Kestrel Supplies,Enterprise,New starter can't access,"Added Marco last week but he still gets access denied.",Seats,medium
T-005,2026-06-02,Hollis & Co,Starter,Stock numbers wrong,"System says 40 units of SKU 88213 but we counted 12 on the shelf.",StockDiscrepancy,medium
T-006,2026-06-02,Arden Trading,Growth,Scanner won't pair,"Zebra scanner won't connect to the tablet since this morning.",Scanner,easy
T-007,2026-06-02,Bramley Wholesale,Growth,Export stuck,"Tried to export the monthly stock report 3 times, spinner never stops.",Reports,easy
T-008,2026-06-03,Pell Distribution,Enterprise,Xero sync failed,"Accounting sync has been failing since Tuesday. No error shown.",Integration,medium
T-009,2026-06-03,Vestra Retail,Starter,Import rejected,"CSV import says row 41 invalid but row 41 looks fine to me.",DataImport,medium
T-010,2026-06-03,Norling Foods,Growth,Invoice query,"We were charged for 12 seats but we only have 9 people.",Billing,medium
T-011,2026-06-03,Marlow Group,Growth,How do I set reorder points,"Where do I set a minimum stock level so it warns me?",HowTo,easy
T-012,2026-06-04,Kestrel Supplies,Enterprise,System very slow,"Loading the stock list takes 40 seconds since the update.",Performance,medium
T-013,2026-06-04,Hollis & Co,Starter,Missing products,"About 200 products have disappeared from our catalogue overnight.",DataLoss,hard
T-014,2026-06-04,Arden Trading,Growth,Add barcode field to reports,"Would be useful if the export included the barcode column.",FeatureRequest,easy
T-015,2026-06-04,Tarn Retail,Starter,Thinking of cancelling,"We're evaluating alternatives, our renewal is in 6 weeks.",Cancellation,hard
T-016,2026-06-05,Pell Distribution,Enterprise,Password reset loop,"Reset link takes me back to the login page every time.",Login,easy
T-017,2026-06-05,Bramley Wholesale,Growth,How do I bulk edit prices,"Can I change prices for a whole category at once?",HowTo,easy
T-018,2026-06-05,Norling Foods,Growth,Count mismatch again,"Third time this month the counts don't match after a delivery.",StockDiscrepancy,medium
T-019,2026-06-05,Vestra Retail,Starter,Scanner beeps but nothing happens,"It scans and beeps but the item doesn't appear on screen.",Scanner,medium
T-020,2026-06-08,Marlow Group,Growth,PDF report blank,"The stock valuation PDF downloads but every page is empty.",Reports,medium
T-021,2026-06-08,Kestrel Supplies,Enterprise,Remove a user,"Sarah left the company, how do I remove her and free the seat?",Seats,easy
T-022,2026-06-08,Arden Trading,Growth,QuickBooks connection broken,"Reconnected twice, still says authorisation expired.",Integration,medium
T-023,2026-06-08,Hollis & Co,Starter,Import date format,"Import fails on the expiry date column, we use DD/MM/YYYY.",DataImport,easy
T-024,2026-06-09,Tarn Retail,Starter,Invoice copy please,"Can you send me the invoice for May, accounts needs it.",Billing,easy
T-025,2026-06-09,Pell Distribution,Enterprise,Slow on mobile,"The app takes ages to open on the warehouse tablets.",Performance,medium
T-026,2026-06-09,Bramley Wholesale,Growth,Dark mode,"Any plans for a dark mode? The warehouse screens are bright.",FeatureRequest,easy
T-027,2026-06-09,Norling Foods,Growth,Login after email change,"I changed my work email and now I can't get in at all.",Login,medium
T-028,2026-06-10,Vestra Retail,Starter,Where is the audit log,"I need to see who changed a stock level last Thursday.",HowTo,medium
T-029,2026-06-10,Marlow Group,Growth,Negative stock,"Shows minus 8 units for SKU 44120 which shouldn't be possible.",StockDiscrepancy,hard
T-030,2026-06-10,Kestrel Supplies,Enterprise,Scanner battery drains,"Scanners die after 2 hours since the firmware update you suggested.",Scanner,hard
T-031,2026-06-10,Arden Trading,Growth,Scheduled report not sent,"The Monday morning report hasn't arrived for 2 weeks.",Reports,medium
T-032,2026-06-11,Hollis & Co,Starter,Upgrade seats,"We need 3 more seats, how much and how do I add them?",Seats,easy
T-033,2026-06-11,Tarn Retail,Starter,Shopify orders not syncing,"Orders from Shopify stopped appearing yesterday afternoon.",Integration,medium
T-034,2026-06-11,Pell Distribution,Enterprise,Import duplicated everything,"Ran the supplier import and now every product exists twice.",DataImport,hard
T-035,2026-06-11,Bramley Wholesale,Growth,Charged twice,"Our card was charged twice in June, please refund one.",Billing,hard
T-036,2026-06-12,Norling Foods,Growth,How to do a partial stock take,"Can I count just one aisle without doing the whole warehouse?",HowTo,easy
T-037,2026-06-12,Vestra Retail,Starter,Everything is slow today,"Whole system crawling since about 10am.",Performance,easy
T-038,2026-06-12,Marlow Group,Growth,Deleted supplier by accident,"I deleted a supplier and all their products vanished with it.",DataLoss,hard
T-039,2026-06-12,Kestrel Supplies,Enterprise,Multi warehouse support,"Do you plan to support transfers between our 3 sites?",FeatureRequest,medium
T-040,2026-06-15,Arden Trading,Growth,Downgrade plan,"Business is slower, we want to move to Starter next month.",Cancellation,hard
T-041,2026-06-15,Hollis & Co,Starter,Forgot password,"Please reset my password, I've forgotten it.",Login,easy
T-042,2026-06-15,Tarn Retail,Starter,SSO not working,"Our Google login stopped working for the whole team this morning.",Login,hard
T-043,2026-06-15,Pell Distribution,Enterprise,How do I set user permissions,"Want warehouse staff to see stock but not costs.",HowTo,medium
T-044,2026-06-16,Bramley Wholesale,Growth,Counts off after delivery,"Received 200 cases, system only added 180.",StockDiscrepancy,medium
T-045,2026-06-16,Norling Foods,Growth,Scanner disconnects randomly,"Loses connection every few minutes in the back of the warehouse.",Scanner,medium
T-046,2026-06-16,Vestra Retail,Starter,Excel export has no headers,"The CSV downloads without column names.",Reports,easy
T-047,2026-06-16,Marlow Group,Growth,Seat count wrong,"Dashboard says 8 of 10 seats used but I only see 6 people.",Seats,medium
T-048,2026-06-17,Kestrel Supplies,Enterprise,API integration 401,"Our custom integration is getting 401 errors since last night.",Integration,hard
T-049,2026-06-17,Arden Trading,Growth,Import stops halfway,"Import of 5000 rows stops at about 2400 with no message.",DataImport,hard
T-050,2026-06-17,Hollis & Co,Starter,VAT on invoice,"Invoice doesn't show our VAT number, we need it for filing.",Billing,medium
T-051,2026-06-17,Tarn Retail,Starter,How do I print labels,"Trying to print shelf labels for new products.",HowTo,easy
T-052,2026-06-18,Pell Distribution,Enterprise,Report times out,"Annual stock movement report times out every time.",Reports,medium
T-053,2026-06-18,Bramley Wholesale,Growth,Stock take results not saved,"Finished a count, closed the app, results are gone.",DataLoss,hard
T-054,2026-06-18,Norling Foods,Growth,Slow search,"Searching for a product takes 10 seconds or more.",Performance,easy
T-055,2026-06-18,Vestra Retail,Starter,Bulk barcode upload,"It would help to upload barcodes in bulk rather than one by one.",FeatureRequest,easy
T-056,2026-06-19,Marlow Group,Growth,Account locked,"Too many failed attempts, need unlocking please.",Login,easy
T-057,2026-06-19,Kestrel Supplies,Enterprise,Sage sync duplicates,"Sage sync is creating duplicate invoices.",Integration,hard
T-058,2026-06-19,Arden Trading,Growth,Can't add user,"Add user button is greyed out.",Seats,medium
T-059,2026-06-19,Hollis & Co,Starter,Discrepancy report empty,"Ran the discrepancy report and it shows nothing even though counts are off.",StockDiscrepancy,hard
T-060,2026-06-22,Tarn Retail,Starter,Scanner won't charge,"Cradle light is on but the scanner shows no charge.",Scanner,medium
T-061,2026-06-22,Pell Distribution,Enterprise,Import mapping,"Which column headers does the product import expect?",DataImport,easy
T-062,2026-06-22,Bramley Wholesale,Growth,Renewal price increase,"Why has our renewal quote gone up 22 percent?",Billing,hard
T-063,2026-06-22,Norling Foods,Growth,How to archive products,"We have discontinued lines, how do I hide them without deleting?",HowTo,easy
T-064,2026-06-23,Vestra Retail,Starter,Dashboard won't load,"Dashboard spins forever, rest of the app works.",Performance,medium
T-065,2026-06-23,Marlow Group,Growth,Custom report builder,"Any chance of letting us build our own report layouts?",FeatureRequest,easy
T-066,2026-06-23,Kestrel Supplies,Enterprise,Considering not renewing,"Support response times have been poor, leadership is asking questions.",Cancellation,hard
T-067,2026-06-23,Arden Trading,Growth,Reset link expired,"The password reset link says expired, I clicked it straight away.",Login,easy
T-068,2026-06-24,Hollis & Co,Starter,Stock adjustment not showing,"Made an adjustment yesterday, it isn't in the history.",StockDiscrepancy,hard
